action_type,combined_shot_type,minutes_remaining,period,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range
Jump Shot,Jump Shot,0,3,37,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,4,35,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,6,4,33,27,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,5,4,41,14,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Driving Dunk Shot,Dunk,1,4,40,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,4,44,29,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,4,15,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,10,1,9,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,1,36,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,1,34,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,1,26,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,1,23,18,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,3,33,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,4,3,31,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Fadeaway Jump Shot,Jump Shot,4,3,5,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,3,3,13,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,6,4,48,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,6,4,27,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,5,4,22,18,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,1,47,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,1,20,18,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,1,30,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,4,1,20,20,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Reverse Dunk Shot,Dunk,3,1,5,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,1,1,10,17,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,5,2,8,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,2,2,27,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,2,2,21,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Driving Layup Shot,Layup,9,3,38,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,3,48,21,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,5,3,2,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,2,3,17,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,3,47,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,4,6,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,3,4,24,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Pullup Bank shot,Bank Shot,2,4,10,9,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Driving Slam Dunk Shot,Dunk,1,4,36,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,9,1,35,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,5,1,38,22,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Running Jump Shot,Jump Shot,4,1,33,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,0,1,34,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Layup Shot,Layup,0,1,12,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,1,2,53,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,2,28,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,3,42,16,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,3,2,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,3,2,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,7,3,25,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,3,46,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Layup Shot,Layup,7,4,12,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,7,4,5,23,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.
Jump Shot,Jump Shot,5,4,49,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Layup Shot,Layup,4,4,31,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Floating Jump shot,Jump Shot,3,4,59,10,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,1,4,53,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,1,4,3,28,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,10,1,13,27,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Fadeaway Jump Shot,Jump Shot,9,1,54,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,6,1,2,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Driving Layup Shot,Layup,5,1,14,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Bank Shot,Jump Shot,2,1,54,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Layup Shot,Layup,10,2,29,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,5,2,0,19,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Running Bank shot,Bank Shot,1,2,46,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,11,3,35,21,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,3,35,16,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,3,18,16,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,3,14,8,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,3,3,57,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,2,3,28,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,4,33,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Driving Slam Dunk Shot,Dunk,6,4,33,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,5,4,51,23,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.
Jump Shot,Jump Shot,3,4,55,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,1,4,38,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,5,1,31,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,5,1,2,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Layup Shot,Layup,0,1,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Layup Shot,Layup,5,2,54,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,5,2,7,19,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,2,2,52,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,2,44,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,2,2,3,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,2,47,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Driving Finger Roll Layup Shot,Layup,0,2,10,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,11,3,17,22,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Dunk Shot,Dunk,9,3,58,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,4,3,52,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Layup Shot,Layup,3,3,44,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,3,42,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Bank Shot,Jump Shot,2,3,0,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,1,3,10,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,4,4,13,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,1,9,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,1,5,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Turnaround Bank shot,Bank Shot,9,1,55,14,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Turnaround Fadeaway shot,Jump Shot,7,1,40,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,1,8,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Running Jump Shot,Jump Shot,3,1,32,12,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,1,1,55,8,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.
Driving Layup Shot,Layup,0,1,31,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,1,0,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,7,2,36,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Turnaround Jump Shot,Jump Shot,7,2,1,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,2,27,16,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,2,57,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,2,2,40,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,2,57,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,1,2,33,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,11,3,35,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Bank Shot,Jump Shot,5,3,44,8,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,4,3,7,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,3,3,32,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,2,3,56,17,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,4,34,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,5,4,4,9,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.
Running Jump Shot,Jump Shot,3,4,55,10,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.
Driving Layup Shot,Layup,3,4,24,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,4,46,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,4,0,30,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,8,1,14,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Turnaround Jump Shot,Jump Shot,4,1,29,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,4,1,4,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Driving Layup Shot,Layup,3,1,9,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,1,1,14,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Finger Roll Layup Shot,Layup,0,1,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Alley Oop Layup shot,Layup,4,2,40,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Turnaround Jump Shot,Jump Shot,3,2,18,14,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,2,2,12,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,1,2,12,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,2,2,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,10,3,34,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,5,3,58,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Running Bank shot,Bank Shot,1,3,6,9,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,7,4,34,28,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Driving Layup Shot,Layup,5,4,58,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Dunk Shot,Dunk,0,4,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,9,1,47,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,11,2,30,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,8,2,41,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,2,44,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,2,50,10,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.
Dunk Shot,Dunk,4,2,19,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,3,2,56,22,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.
Jump Shot,Jump Shot,11,3,16,10,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,9,3,10,22,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,3,25,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,8,4,12,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,4,45,22,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,4,10,19,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,1,13,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.
Alley Oop Layup shot,Layup,8,1,22,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,7,1,22,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Turnaround Jump Shot,Jump Shot,5,1,57,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,5,1,8,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,3,1,46,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,1,1,9,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,11,2,29,22,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,10,2,58,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,8,2,14,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,2,36,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,3,17,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Driving Dunk Shot,Dunk,10,3,41,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,7,3,34,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,7,3,10,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Layup Shot,Layup,4,3,46,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Floating Jump shot,Jump Shot,3,3,12,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,9,4,26,17,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,4,37,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,0,4,26,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,11,1,45,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,1,36,19,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,1,41,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,5,1,33,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,1,12,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,1,49,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Driving Reverse Layup Shot,Layup,6,2,6,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,4,2,14,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,3,2,59,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Layup Shot,Layup,3,2,15,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Floating Jump shot,Jump Shot,11,3,32,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,11,3,11,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,5,3,14,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,3,55,23,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.
Dunk Shot,Dunk,10,1,43,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,1,1,12,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.
Driving Dunk Shot,Dunk,6,2,48,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,4,2,31,22,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.
Jump Shot,Jump Shot,3,2,36,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,1,2,10,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,9,3,56,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Pullup Jump shot,Jump Shot,8,3,35,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,7,3,48,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,7,3,24,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,5,3,14,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,3,58,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Turnaround Jump Shot,Jump Shot,2,3,28,11,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Layup Shot,Layup,1,3,33,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,4,55,19,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Layup Shot,Layup,5,4,4,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Dunk Shot,Dunk,4,4,15,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,3,4,48,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Layup Shot,Layup,3,4,22,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,4,48,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,10,1,17,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Driving Reverse Layup Shot,Layup,6,1,55,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,4,1,4,21,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,2,3,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Reverse Layup Shot,Layup,5,2,34,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,4,2,44,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Turnaround Jump Shot,Jump Shot,1,2,14,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,8,3,25,23,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Floating Jump shot,Jump Shot,8,3,15,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Bank Shot,Jump Shot,3,3,24,10,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Layup Shot,Layup,1,3,23,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,4,4,25,22,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.
Running Jump Shot,Jump Shot,3,4,43,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,7,1,45,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Running Jump Shot,Jump Shot,5,1,1,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Pullup Jump shot,Jump Shot,4,1,16,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,1,49,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,1,27,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,3,2,14,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,3,17,21,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Step Back Jump shot,Jump Shot,8,3,2,17,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,5,3,56,28,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,5,3,36,27,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,4,3,26,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,3,35,27,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Driving Finger Roll Layup Shot,Layup,9,4,8,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,4,25,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,1,4,39,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Running Jump Shot,Jump Shot,5,1,55,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Driving Layup Shot,Layup,1,1,20,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Layup Shot,Layup,0,1,46,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Slam Dunk Shot,Dunk,0,1,7,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,3,2,25,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Pullup Jump shot,Jump Shot,9,3,9,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,7,3,52,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,3,3,17,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,3,30,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,3,0,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,4,46,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
